T1ACCDOITUIDsCREDITOR_BP,CGLACCT,TGLACCT,CPROJECT,TPROJECT,KCAMTCOMP,CACCPSTDAT,__metadata
Not Assigned,518520,Direct Labor,CPSO26,Harrison County,45.000000,/Date(1778457600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-11-2026%7CCPROJECT%3DCPSO26%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,CPSO26,Harrison County,45.000000,/Date(1778544000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-12-2026%7CCPROJECT%3DCPSO26%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,CPSO26,Harrison County,90.000000,/Date(1778630400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-13-2026%7CCPROJECT%3DCPSO26%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,CPSO26,Harrison County,45.000000,/Date(1778716800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-14-2026%7CCPROJECT%3DCPSO26%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,87.500000,/Date(1778198400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO28%7CCACCPSTDAT%3D05-08-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,175.000000,/Date(1778457600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO28%7CCACCPSTDAT%3D05-11-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,110.000000,/Date(1778544000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-12-2026%7CCPROJECT%3DCPSO28%7CCGLACCT%3D199100%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,195.000000,/Date(1778630400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO28%7CCACCPSTDAT%3D05-13-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,305.000000,/Date(1778716800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-14-2026%7CCPROJECT%3DCPSO28%7CCGLACCT%3D199100%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,285.000000,/Date(1778803200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO28%7CCACCPSTDAT%3D05-15-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO28,Belt Control Effort,65.000000,/Date(1779062400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO28%7CCACCPSTDAT%3D05-18-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO3,P400286 NRL Subcontract S25-02 T&M,480.000000,/Date(1777593600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO3%7CCACCPSTDAT%3D05-01-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO3,P400286 NRL Subcontract S25-02 T&M,480.000000,/Date(1777852800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-04-2026%7CCPROJECT%3DCPSO3%7CCGLACCT%3D199100%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO3,P400286 NRL Subcontract S25-02 T&M,480.000000,/Date(1777939200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO3%7CCACCPSTDAT%3D05-05-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO3,P400286 NRL Subcontract S25-02 T&M,480.000000,/Date(1778025600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-06-2026%7CCPROJECT%3DCPSO3%7CCGLACCT%3D199100%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,199100,Deferred Cost of Goods Sold,CPSO3,P400286 NRL Subcontract S25-02 T&M,480.000000,/Date(1778112000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D199100%7CCPROJECT%3DCPSO3%7CCACCPSTDAT%3D05-07-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,241610,Deferred Revenues,CPSO3,P400286 NRL Subcontract S25-02 T&M,-37852.380000,/Date(1778025600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D241610%7CCPROJECT%3DCPSO3%7CCACCPSTDAT%3D05-06-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,122.500000,/Date(1777593600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-01-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,122.500000,/Date(1777852800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-04-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1777939200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-05-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
